Symbol,Historical Average,Current Price,Difference,Change
HCA,247.237917582194,239.06,-8.177917582193999,-4.19
BSX,42.830416679382324,41.21,-1.6204166793823234,-0.21
NXPI,211.2893746693929,220.58,9.2906253306071,-0.77
ECL,228.0545825958252,230.88,2.8254174041748,3.98
HUM,451.18041737874347,445.97,-5.210417378743443,-16.22
JCI,75.99958197275798,80.34,4.340418027242023,0.51
FCX,38.59458335240682,38.79,0.19541664759317712,-0.51
EMR,96.25732183827395,94.57,-1.6873218382739594,-0.88
SPG,158.85958353678384,169.38,10.52041646321615,-2.63
ILMN,397.7120882670085,375.92,-21.792088267008467,3.42
MSCI,653.881169655352,665.43,11.548830344647968,-8.55
XLNX,197.29901695251465,220.57,23.270983047485345,0.31
IDXX,640.1139577229818,634,-6.113957722981809,13.27
TEL,154.15341678549345,164.15,9.996583214506558,1.1
SNPS,337.75583267211914,352.09,14.334167327880834,5.91
PGR,93.97833283742268,90.72,-3.258332837422685,-0.42
NOC,368.1333312988281,351.42,-16.71333129882811,1.71
DG,222.20814196268717,222.34,0.1318580373128384,2.21
EXC,53.01291688283285,53.54,0.5270831171671517,0.07
EOG,92.5087496439616,89.62,-2.8887496439615887,-3.81
INFO,127.41254115350114,130.03,2.617458846498863,-0.88
CDNS,176.63416798909506,186.05,9.41583201090495,2.27
ROP,485.90041732788086,486.66,0.7595826721191656,11.77
PSA,329.01353963216144,335.85,6.836460367838583,-4.11
IQV,257.58750343322754,266.6,9.012496566772484,1.57
APH,81.29541619618733,84.76,3.4645838038126726,0.38
CMG,1806.8943735758464,1779.17,-27.724373575846357,-25.17
ALGN,656.8895848592123,683.83,26.940415140787763,-8.03
CARR,54.59235218327796,57.02,2.427647816722043,0.46
A,158.7170836130778,162.16,3.4429163869222066,2.74
ATVI,71.3049996693929,62.67,-8.634999669392897,-0.17
VRTX,186.95666694641113,185.41,-1.5466669464111362,-2.53
AIG,58.563124656677246,56.12,-2.4431246566772487,-1.22
APTV,172.86166636149088,176.26,3.398333638509115,-0.36
TROW,212.91208267211914,209.97,-2.9420826721191418,0.57
EBAY,75.71875031789143,74.72,-0.9987503178914352,-0.31
FTNT,338.4091733296712,343.51,5.100826670328786,-1.0
DLR,158.00750160217285,164.3,6.29249839782716,1.28
TT,186.22603543599448,193.59,7.363964564005528,2.4
BK,58.73967433899924,57.77,-0.9696743389992335,-0.7
GD,202.3191680908203,198,-4.3191680908203125,-1.0
NEM,57.02541653315226,57.17,0.1445834668477417,-0.67
MCHP,80.24791622161865,83.31,3.06208377838135,-0.63
MET,63.7248588286345,62.66,-1.064858828634506,-1.51
KMB,131.96229139963785,133.05,1.0877086003621628,1.39
SLB,33.03875390688578,31.86,-1.178753906885781,-1.78
ORLY,642.8108393351237,645.95,3.1391606648763855,-9.78
LHX,228.04949332247998,220,-8.049493322479975,0.0
CNC,72.63062445322673,75.37,2.7393755467732746,-2.36
SIVB,739.4110438028971,744.97,5.55895619710293,15.6
MSI,250.33541615804037,257.25,6.914583841959626,-4.14
DOW,58.51416619618734,57.98,-0.5341661961873427,-0.64
PH,316.65946914705876,332.3,15.640530852941254,-2.55
ROST,115.48749955495198,119.52,4.032500445048015,-6.74
MAR,158.88624827067056,155.73,-3.1562482706705737,-1.66
CTSH,80.09208393096924,81.04,0.947916069030768,0.86
PRU,111.20648701985677,109.25,-1.956487019856766,-2.72
DD,76.36875025431316,79.52,3.1512497456868402,0.5
AEP,83.32695676152997,82.82,-0.5069567615299775,0.68
PXD,185.9813346862793,179.71,-6.271334686279289,-2.75
AZO,1841.059778849284,1875.85,34.79022115071598,-16.17
PAYX,123.8970832824707,125.51,1.612916717529302,-0.38
MPC,65.13405697552625,62.7,-2.4340569755262464,-2.4
HLT,144.96499888102213,143.59,-1.3749988810221225,0.78
ROK,329.7659010066741,344.77,15.004098993325897,3.4
STZ,223.9485650511637,237.01,13.061434948836279,-1.61
BAX,79.63208357493083,79.11,-0.5220835749308321,0.15
MTCH,154.28916676839194,142.39,-11.89916676839195,-1.89
EA,140.0379180908203,137.33,-2.7079180908203,-4.36
O,69.9211121133707,71.04,1.1188878866293095,-0.11
SRE,126.65208276112874,122.74,-3.912082761128744,0.02
TRV,158.8904177347819,156.03,-2.8604177347818904,-3.5
TWTR,54.93000062306722,48.6,-6.330000623067221,-0.04
CTAS,436.29125213623047,442.78,6.488747863769504,3.26
FRC,217.8359372349271,219.04,1.204062765072905,-0.29
PPG,161.60713068623903,162.35,0.7428693137609628,-1.51
SYY,77.8245833714803,74.93,-2.8945833714802944,-0.76
RMD,263.3335264223866,263.16,-0.1735264223866011,-2.85
BIIB,267.52291679382324,256.79,-10.732916793823222,0.71
GIS,62.6050001780192,62.9,0.2949998219807952,-0.5
SBAC,345.30707931518555,345.24,-0.06707931518553778,-0.25
HPQ,30.96916651725769,31.41,0.4408334827423097,0.04
YUM,126.21333344777425,127.01,0.7966665522257586,-0.05
IFF,148.36708386739096,150.05,1.6829161326090514,-0.02
GPN,139.71562385559082,126.85,-12.865623855590826,0.77
ADM,65.07423185797433,66.59,1.515768142025678,-1.27
OTIS,83.02373750361599,86.23,3.2062624963840136,0.03
VRSK,216.3112506866455,226.72,10.408749313354491,3.51
WELL,83.36556652780197,86.15,2.7844334721980317,-1.96
KEYS,184.39420382181802,194.27,9.875796178181986,0.36
CTVA,46.0813864920682,48.67,2.588613507931804,-0.86
MTD,1502.802281697591,1544.12,41.31771830240882,7.95
EFX,279.07833162943524,289.19,10.111668370564757,-0.33
ETSY,261.6329097747803,290.27,28.63709022521971,5.37
FAST,58.63312482833862,61.1,2.4668751716613784,-0.07
MCK,216.8158334096273,225.44,8.62416659037271,-4.54
STT,97.3645830154419,95.24,-2.1245830154418996,-0.49
ANSS,388.00208536783856,398.62,10.617914632161444,4.23
XEL,64.29229180018108,64.33,0.037708199818922594,0.77
DFS,119.01375039418538,115.51,-3.5037503941853743,-1.13
TDG,649.6495793660482,660.61,10.960420633951799,-28.77
AFL,55.83955649387056,55.9,0.06044350612943816,-0.46
AMP,302.271586379317,303.17,0.8984136206830158,-3.62
AVB,238.29958216349283,246.12,7.8204178365071755,-4.11
WBA,48.607499758402504,47.82,-0.7874997584025039,-0.62
ENPH,228.7441660563151,254.48,25.735833943684895,14.52
WMB,28.467708269755047,27.97,-0.4977082697550479,-0.53
AJG,164.10312461853027,162.81,-1.2931246185302712,0.6
CBRE,103.41625022888184,99.61,-3.8062502288818365,0.08
ALL,119.54500039418538,113.06,-6.485000394185377,-1.12
MNST,88.52979151407878,89.39,0.8602084859212198,0.0
WST,425.1088171030569,449.36,24.251182896943135,-0.9
DHI,94.30874919891357,101.84,7.531250801086429,0.33
ODFL,342.9679183959961,352,9.032081604003906,-0.18
NUE,109.77124977111816,111.7,1.9287502288818388,0.33
CMI,236.3473338194126,228.1,-8.247333819412603,-3.35
CPRT,154.18978881835938,155.76,1.570211181640616,-3.35
AME,137.02458254496256,141.08,4.055417455037457,1.4
ZBRA,572.593645731608,606.96,34.366354268392,-9.59
PSX,77.05703364564907,73.71,-3.347033645649077,-3.42
ALB,261.00916544596356,274.66,13.650834554036464,6.77
KMI,16.915964407342365,16.28,-0.6359644073423638,-0.12
PEG,63.16333373387655,62.4,-0.76333373387655,0.67
SWK,188.37749799092612,192.31,3.932502009073886,-2.06
DLTR,114.862291653951,134.25,19.387708346048996,0.66
AWK,171.6393405580648,171.49,-0.14934055806477886,2.44
BLL,92.56958357493083,94.22,1.6504164250691673,1.48
LEN,105.04539171854655,111.13,6.084608281453441,0.3
FITB,44.363125006357826,44.14,-0.22312500635782584,-0.59
BBY,127.7441676457723,135.61,7.86583235422772,0.64
PCAR,88.50854206085205,86.98,-1.5285420608520468,-0.61
EQR,85.9587500890096,88.01,2.051249910990407,-1.97
VLO,76.40627060950908,72.96,-3.446270609509085,-3.72
WLTW,236.53666750590006,228.44,-8.096667505900058,5.78
GLW,37.79525575241714,38.33,0.5347442475828572,-0.03
ANET,115.61878700256348,132.55,16.931212997436532,-4.14
RSG,134.58889230092367,137.44,2.851107699076323,-0.99
ES,84.39333279927571,83.21,-1.1833327992757177,0.65
ARE,206.1139170328776,206.4,0.286082967122411,0.2
WY,37.40687481562296,37.94,0.5331251843770346,0.1
WEC,89.80128191209248,90.13,0.328718087907518,0.39
OKE,63.79306224453837,63.55,-0.24306224453837189,-1.85
FTV,76.94208367665608,78.77,1.8279163233439135,0.36
KR,40.88611344655393,41.4,0.5138865534460706,-0.51
IT,331.5627072652181,335.11,3.5472927347819336,-0.56
KSU,306.757085164388,306.43,-0.32708516438799506,-1.94
LH,284.7024968465169,287.49,2.787503153483101,-4.17
SYF,48.91576500069303,48.35,-0.5657650006930268,-0.64
LUV,48.447499910990395,46.37,-2.0774999109903973,0.46
URI,378.8720817565918,377.87,-1.0020817565917923,2.13
DVN,42.07812515894572,43.32,1.2418748410542833,-2.64
EXR,195.61541684468588,203.31,7.69458315531412,-1.15
OXY,32.73749987284342,30.64,-2.0974998728434215,-1.49
SWKS,164.90624872843424,163.11,-1.7962487284342217,-2.16
ZBH,138.95500119527182,128.89,-10.065001195271833,-0.08
CDW,190.18060493469238,195.23,5.049395065307607,1.01
ED,76.02795612881442,77.66,1.632043871185573,0.37
GNRC,455.7908312479655,422.09,-33.70083124796554,17.89
VMC,194.73893218338486,198.59,3.851067816615142,-3.37
MLM,406.08166376749676,420.25,14.168336232503236,-2.82
TSCO,218.85333697001138,229.23,10.376663029988606,1.33
HSY,177.0542902523728,180.11,3.055709747627219,-0.78
DAL,41.12979173660278,40.12,-1.0097917366027858,-0.38
DOV,172.30125045776367,176.58,4.278749542236341,-1.31
NTRS,123.39333407084148,121.4,-1.9933340708414704,-0.79
EXPE,172.90625127156576,176.58,3.673748728434248,-2.58
VFC,74.4529161453247,76.38,1.9270838546752884,-0.88
IR,57.03722308246233,60.9,3.8627769175376656,0.57
EIX,62.8008329073588,64.6,1.7991670926411913,0.3
HIG,72.48749987284343,70.5,-1.9874998728434292,-0.82
TSN,81.70624987284343,82.56,0.8537501271565731,-1.4
NDAQ,208.22750027974448,208.7,0.472499720255513,-1.7
MPWR,540.5987548828125,560.95,20.351245117187545,9.05
HBAN,16.196112314860027,16.17,-0.02611231486002552,-0.22
KMX,145.57999992370605,146.04,0.46000007629393735,0.05
LYB,94.23250071207683,91.26,-2.9725007120768225,-1.86
MAA,202.8945827484131,204.04,1.145417251586906,-2.7
TER,138.5970834096273,150.85,12.252916590372706,-0.85
XYL,129.86708164215088,130.24,0.3729183578491302,-1.14
VRSN,229.30250040690103,241.02,11.717499593098978,4.68
POOL,534.6429112752279,577.85,43.20708872477212,-0.85
KHC,36.49395831425985,35.37,-1.123958314259852,-0.03
STE,231.1366672515869,234,2.863332748413086,-0.46
RF,23.954500039418537,23.9,-0.05450003941853865,0.04
ESS,341.19910939534503,350.62,9.420890604654971,-3.2
KEY,23.74708342552185,23.67,-0.07708342552184888,-0.27
PAYC,508.91529083251953,469.4,-39.515290832519554,1.12
CHD,87.90683640093474,91.22,3.3131635990652626,1.01
HES,83.83250013987224,80.74,-3.092500139872243,-4.28
ULTA,388.7352015177409,405.65,16.914798482259073,3.33
TYL,536.970411936442,540.99,4.01958806355799,6.89
TRMB,87.47125085194905,87.8,0.3287491480509459,0.85
DRE,56.366609102851285,58.23,1.8633908971487116,-0.66
CTLT,130.16441567738852,128.03,-2.1344156773885175,-0.92
GRMN,148.9552059173584,144.54,-4.415205917358406,-1.08
PPL,28.751041650772095,28.27,-0.48104165077209515,0.13
AEE,84.66999975840251,84.42,-0.24999975840250954,0.96
CERN,73.71375020345052,73.58,-0.1337502034505178,-0.84
EXPD,125.18604119618733,127.51,2.3239588038126726,1.28
DTE,113.47541650136311,111.38,-2.0954165013631183,-0.2
CFG,49.00424571252696,50.14,1.1357542874730413,-0.53
ETR,103.20003622726495,105.48,2.2799637727350586,0.47
GWW,467.02953033400723,482.27,15.240469665992748,0.35
TDY,446.38125228881836,449.51,3.1287477111816315,-5.29
WAT,353.3581199645996,342.36,-10.998119964599596,7.35
FE,38.330287747179426,38.61,0.2797122528205733,-0.08
PKI,178.84390046261385,187.3,8.456099537386166,1.52
MKC,81.52125072479248,83.55,2.0287492752075167,0.42
BBWI,73.77083365122478,78.37,4.599166348775228,-1.95
VIAC,36.16583331425985,34.23,-1.9358333142598525,-0.57
MTB,156.91229057312012,159.42,2.5077094268798703,-2.05
CLX,163.72509335057165,165.77,2.0449066494283556,1.21
STX,96.07995478312175,101.25,5.1700452168782505,-0.26
HAL,24.463333288828533,22.76,-1.7033332888285315,-0.71
TTWO,180.77083524068198,174,-6.770835240681976,-3.5
CZR,106.26349989573161,96.09,-10.17349989573161,-0.73
VTR,54.166666984558105,53.29,-0.8766669845581063,-1.94
BR,177.0177090962728,173,-4.017709096272796,1.13
COO,413.96333567301434,404.89,-9.073335673014356,0.18
BKR,24.78147116182911,23.93,-0.8514711618291102,-1.24
DPZ,499.1329180399577,536.83,37.69708196004234,-1.24
NTAP,89.9827168782552,87.32,-2.6627168782552104,-1.32
GPC,134.49083296457925,136.03,1.5391670354207463,-0.79
CRL,403.34666951497394,387.51,-15.836669514973948,-9.01
TECH,503.7829195658366,495.14,-8.642919565836621,6.37
J,142.34666633605957,147.22,4.8733336639404286,-0.8
HPE,14.954999963442484,14.61,-0.3449999634424845,-0.2
DRI,147.4101244608561,145.92,-1.4901244608561228,-3.42
IP,49.60354133510844,48.57,-1.0335413351084384,-0.99
PEAK,34.45982201321336,34.83,0.3701779867866364,-0.62
FLT,248.50249799092612,227.29,-21.212497990926124,0.38
HOLX,72.3931245803833,73.26,0.8668754196167043,1.74
CE,167.56795215191354,167.46,-0.10795215191353691,-1.72
AMCR,12.14020840326945,12.02,-0.1202084032694497,-0.12
ABC,123.7347302317059,124.49,0.7552697682940988,-5.61
FANG,109.99166679382324,107.96,-2.0316667938232484,-5.94
RCL,86.42903741200765,82.94,-3.4890374120076473,-2.47
AVY,220.22458267211914,219.78,-0.4445826721191395,-1.26
RJF,99.84437529246013,97.89,-1.9543752924601279,0.25
DGX,146.0112508138021,147.82,1.8087491861979004,0.62
AKAM,108.48989582061768,110.54,2.0501041793823305,0.46
IEX,229.38166681925455,235.84,6.458333180745456,-1.42
WAB,93.81261102325249,94.57,0.7573889767475066,0.79
MGM,47.074162324269615,44.33,-2.7441623242696167,-0.05
CINF,121.53437487284343,118.7,-2.8343748728434264,0.11
PFG,69.58769957224528,71.22,1.6323004277547142,-0.35
CMS,60.23087550252446,60.45,0.21912449747554064,0.45
QRVO,162.26250139872232,156.34,-5.922501398722318,-0.34
NVR,5050.7946370442705,5109.99,59.19536295572925,106.02
WDC,56.25012938181559,55.7,-0.5501293818155872,0.32
BXP,117.21187559763591,119.28,2.0681244023640915,-2.34
CTRA,21.09166653951009,20.77,-0.3216665395100904,-0.92
TXT,75.31854152679443,75.25,-0.0685415267944336,0.09
MAS,64.80332895317106,67.75,2.946671046828939,-0.15
CCL,22.419166723887127,20.95,-1.4691667238871275,-0.42
PWR,118.36749998728435,119.06,0.6925000127156551,1.69
BIO,760.4745814005533,772.35,11.875418599446675,4.28
JBHT,196.42791938781738,195.75,-0.6779193878173828,-1.49
AES,24.723773699517558,24.47,-0.25377369951755924,0.11
VTRS,13.759999950726828,13.39,-0.369999950726827,-0.24
LKQ,57.449999968210854,59.1,1.6500000317891477,-0.6
UDR,55.43333371480306,56.69,1.2566662851969355,-0.54
K,62.39124997456869,62.41,0.018750025431309325,-0.34
CDAY,122.40895907084148,115.88,-6.528959070841481,-1.0
CNP,26.346020267253916,26.42,0.0739797327460856,0.13
TFX,350.8874143743091,329.99,-20.897414374309108,-11.49
EMN,110.5158338546753,113.71,3.194166145324701,-0.53
ABMD,349.1979166666667,340.2,-8.997916666666697,-0.21
UAL,48.540000120798744,47.43,-1.1100001207987447,-1.39
AAP,230.9602082570394,231.92,0.95979174296059,-1.92
BRO,64.11142880435196,64.14,0.028571195648041225,0.4
CAG,32.23507084034217,31.12,-1.1150708403421667,-0.28
EVRG,63.75803862391709,65.07,1.3119613760829054,0.54
LYV,109.80379168192546,112.96,3.1562083180745333,-1.26
FBHS,103.02479139963786,107.59,4.565208600362141,-0.24
KIM,23.5,24.08,0.5799999999999983,-0.21
CF,61.91010172769661,67.57,5.65989827230338,-2.38
OMC,69.59854189554851,67.71,-1.8885418955485136,-0.59
NLOK,25.44270857175191,24.78,-0.6627085717519101,0.23
WHR,216.89841620291227,229.61,12.71158379708774,-0.32
FFIV,221.72083218892416,238.26,16.539167811075828,-6.76
CAH,49.37968349456787,49.33,-0.0496834945678728,-0.89
MKTX,393.7525011698405,366.83,-26.92250116984053,-5.83
LNT,56.10731236139933,55.25,-0.8573123613993303,1.54
CBOE,130.64958222707114,129.51,-1.1395822270711449,-0.03
IRM,46.824166774749756,47.41,0.5858332252502407,-0.78
IPG,36.32500012715658,34.7,-1.625000127156575,-0.35
SJM,124.19330527711185,125.85,1.6566947228881475,-0.75
LUMN,13.212708234786987,13.6,0.38729176521301234,-0.23
FMC,100.23606650034587,105.08,4.843933499654128,-1.03
PHM,50.4770835240682,51.74,1.262916475931803,0.51
RHI,115.38875071207683,117.08,1.6912492879231706,0.66
PNR,75.50051035337769,77.67,2.16948964662231,1.67
HAS,95.9595832824707,99.83,3.870416717529295,1.26
TPR,42.32770808537801,45.84,3.51229191462199,0.15
FOXA,41.0047918955485,39.57,-1.4347918955485,-0.58
LVS,39.75958363215128,38.55,-1.2095836321512863,-0.29
WRK,48.299116763188856,48,-0.2991167631888558,-1.23
MOS,39.090833028157554,36.82,-2.270833028157554,0.08
MRO,16.511526464155086,16.12,-0.39152646415508485,-0.89
LNC,73.24166711171468,71.41,-1.8316671117146797,-1.86
PKG,134.73916562398276,132.61,-2.1291656239827432,0.48
AAL,19.987708409627277,19.39,-0.5977084096272769,-0.13
PTC,124.01333300272624,117.45,-6.563333002726239,0.54
CHRW,95.65479119618733,93.91,-1.744791196187336,2.36
HST,17.40958325068156,17.31,-0.09958325068156171,-0.26
INCY,65.8681248029073,65.13,-0.7381248029073078,-0.62
LDOS,96.45666631062825,91.17,-5.286666310628249,0.87
ATO,93.4455836613973,92.61,-0.835583661397294,3.1
ALLE,133.29374917348227,134.93,1.6362508265177382,-1.13
HWM,31.40279732392512,31.32,-0.08279732392512074,-1.14
HRL,42.68249988555908,42.62,-0.06249988555908459,0.01
CMA,87.8189582824707,89.31,1.4910417175292991,-1.38
XRAY,55.8841667175293,53.57,-2.3141667175292966,-0.88
SNA,212.69575275583412,215.76,3.0642472441658697,-0.11
L,57.121666272481285,56.69,-0.4316662724812872,-1.06
WRB,80.96708297729492,81.88,0.9129170227050736,-1.59
REG,73.08666674296062,74.76,1.6733332570393884,-0.96
JKHY,161.5175018310547,151.8,-9.717501831054676,1.41
BWA,46.59958362579346,46.79,0.19041637420654212,-0.99
AOS,75.92281592175289,82.31,6.387184078247117,0.15
RE,274.4612503051758,274.4,-0.06125030517580399,-7.29
HSIC,78.02083333333333,76.97,-1.0508333333333297,-0.83
ZION,65.08499956130981,66.22,1.1350004386901844,-0.81
JNPR,30.629375219345093,32.38,1.7506247806549098,-0.18
CTXS,92.16074180603027,84.73,-7.4307418060302695,0.37
APA,28.143402864727424,27.58,-0.5634028647274256,-1.58
NI,24.988578738471517,25.12,0.13142126152848377,0.1
MHK,180.42958323160806,174.56,-5.869583231608061,2.78
SEE,62.31458346048991,64.67,2.355416539510095,-0.17
WYNN,92.66559219360352,90.48,-2.1855921936035116,0.52
BEN,33.8174999554952,34.82,1.0025000445047993,-0.14
UHS,129.21499951680502,125.83,-3.384999516805024,-1.85
AIZ,162.33875020345053,160.24,-2.098750203450521,-0.76
NWSA,23.724583387374878,23.22,-0.5045833873748791,-1.65
